state,year,ndvi_aug1,ndvi_final,ndvi_oct1,ndvi_sep1
Colorado,2016,0.3147736519077813,0.3124056979359261,0.2724485153969868,0.6626851181318658
Colorado,2017,0.4707739328374773,0.4099483997011234,0.394209990777422,0.4430564423899372
Colorado,2018,0.6170532929165118,0.2984837815100681,0.4021703217060469,0.4240806459254712
Colorado,2019,0.5524020316546869,0.2900515955261056,0.3847567567974496,0.3831303541554114
Colorado,2020,0.7002806895387581,0.078682026048124,0.3973080167319325,0.5733194761707111
Colorado,2021,0.3841084810121458,0.316766950384068,0.4712496819785605,0.6517421130529524
Colorado,2022,0.3954229204140023,0.2765279492105179,0.4733337139009227,0.4636991608681463
Colorado,2023,0.29277705046065,0.2860221908674306,0.5039655266035844,0.5289172585872062
Colorado,2024,0.5932632447440765,0.2686193702495379,0.5081846973549617,0.6393588806656619
Iowa,2016,0.8420789342997136,0.3122185238006624,0.4221345428894413,0.6321067385945774
Iowa,2017,0.8518439704706483,0.3091007732305421,0.502566453536098,0.794756917220231
Iowa,2018,0.838142357333719,0.3103394874738041,0.4416297855006869,0.7311969041422454
Iowa,2019,0.7946331831606882,0.3151136953001154,0.6854968019097573,0.8734147485655878
Iowa,2020,0.8567755448282749,0.1718692832591593,0.490753812016436,0.8218937582855329
Iowa,2021,0.8495944413085376,0.3107869783231028,0.5434300354822277,0.8684734063180003
Iowa,2022,0.8813609344233547,0.2829593401101486,0.4301811228200162,0.8028529752093939
Iowa,2023,0.8212335469746312,0.2681104987334326,0.4322133491535525,0.8243838585900067
Iowa,2024,0.8509600648266392,0.2786032949620905,0.5888110581496098,0.8733250278516618
Missouri,2016,0.6802938437084104,0.383643605209348,0.4582180870618422,0.658402332699374
Missouri,2017,0.8265535046695588,0.3788099468459984,0.4817858918602371,0.7747629771579533
Missouri,2018,0.842495521646161,0.3249514490583722,0.4416371042456021,0.6355040238079767
Missouri,2019,0.7238322360100783,0.3816335877335843,0.7644987378995735,0.8746611717732997
Missouri,2020,0.8658378434303708,0.2847671737871722,0.5315782042506082,0.8149418610207104
Missouri,2021,0.6074936924569044,0.3963381039191915,0.5300561421676337,0.8646194645987794
Missouri,2022,0.6986052595489974,0.287520491366697,0.4935803535140504,0.6497244544113676
Missouri,2023,0.8746716744472836,0.3633087295649632,0.4948290782237503,0.8753150781578722
Missouri,2024,0.8798379349640607,0.3007700153023161,0.4244606644361932,0.8644182460759139
Nebraska,2016,0.7936633885901506,0.3213189520266195,0.501399157443243,0.5776143224522375
Nebraska,2017,0.6875957440341466,0.3204626677959357,0.4847188025309659,0.5512319440883926
Nebraska,2018,0.7761093367914697,0.2957675903986531,0.4566558884440181,0.8073233978657374
Nebraska,2019,0.7278368149158467,0.3149584447570328,0.5146740966091202,0.6602752969689071
Nebraska,2020,0.6869050089121372,0.0795177034108944,0.5411961992105149,0.8127749974793902
Nebraska,2021,0.5907280049925531,0.3043719594230575,0.5003571791522287,0.8110273551324222
Nebraska,2022,0.6915057084142856,0.3110123400241761,0.5442679570736111,0.7959083988185064
Nebraska,2023,0.7122860602641747,0.3092810612242096,0.436602671481458,0.7654542681514998
Nebraska,2024,0.8400173228916232,0.2786216371462195,0.5256564450657663,0.7386110113815075
Wisconsin,2016,0.8270219980237641,0.4650547097919336,0.5677351396995872,0.6510085214051714
Wisconsin,2017,0.6888307107731373,0.5519514292669458,0.5519514292669458,0.775242701221992
Wisconsin,2018,0.6785996313167132,0.4233576569867048,0.5347253937932146,0.7943802864240065
Wisconsin,2019,0.6749181177799776,0.600797611966968,0.6905037168574489,0.6610341479119068
Wisconsin,2020,0.7867188110088864,0.344630155956878,0.581806160110209,0.8061506280218242
Wisconsin,2021,0.643604176013376,0.3689528967693566,0.5144653659261981,0.7088846855408291
Wisconsin,2022,0.7868880753786208,0.357681950822782,0.7217464457610472,0.8191691594660764
Wisconsin,2023,0.794806790986461,0.340688358331944,0.6983765447304187,0.5927021783012535
Wisconsin,2024,0.7387407929657291,0.4717329993961002,0.6643101176335384,0.7880768669766686
