year,state,yield_bu_acre,tavg_may,prcp_may,tavg_jun,prcp_jun,tavg_jul,prcp_jul,tavg_aug,prcp_aug,tavg_sep,prcp_sep,tavg_oct,prcp_oct,ndvi_aug1,ndvi_sep1,ndvi_oct1,ndvi_final
2005,Colorado,137.0,,1.4093,,2.7832,,0.6866,,2.3037,,0.5336,,2.3862,0.48009503283178784,0.5299988277719293,0.423069691249763,0.28194532904810016
2005,Iowa,170.8,57.970000000000006,3.8201666666666663,72.91428571428571,5.026206896551724,74.95641025641027,3.1688524590163936,72.03999999999999,3.5746666666666664,67.7560975609756,3.235084745762712,52.71707317073171,0.9015254237288136,0.8429581086251341,0.8024893705308042,0.5041352179397584,0.2843446527992286
2005,Missouri,105.2,63.17105263157895,1.9872580645161289,75.18947368421053,3.811290322580645,78.3948717948718,3.0281967213114758,78.26315789473684,5.532741935483871,72.2897435897436,3.9906557377049183,57.12820512820513,1.5427868852459017,0.7777357234313139,0.7791499566336941,0.5134049181843879,0.3446381225319603
2005,Nebraska,157.4,,3.2255000000000003,,4.9267,,1.6933,,3.161,,0.4987,,1.8467,0.7229608210895986,0.7244689991487334,0.5006142663345474,0.2817013729118665
2005,Wisconsin,140.4,53.5175,2.656333333333333,70.14761904761905,3.798793103448276,71.24418604651163,3.360701754385965,69.08292682926829,2.910338983050848,64.03720930232558,3.975438596491228,50.36190476190476,2.723793103448276,0.7355699004718518,0.7329610194744143,0.6139578126420676,0.4360941965877348
2006,Colorado,152.4,,0.7744,,0.5509000000000001,,3.056,,2.0017,,0.9772,,2.5894,0.48009503283178784,0.5299988277719293,0.423069691249763,0.28194532904810016
2006,Iowa,168.8,60.50232558139535,2.77280701754386,70.1075,2.5796666666666668,76.13414634146342,3.5720338983050848,72.6452380952381,5.619655172413793,60.57142857142857,3.849137931034482,48.28292682926829,1.905593220338983,0.8429581086251341,0.8024893705308042,0.5041352179397584,0.2843446527992286
2006,Missouri,140.0,,3.3378,,3.1595,,3.2748000000000004,,4.5986,,2.2033,,3.4151,0.7777357234313139,0.7791499566336941,0.5134049181843879,0.3446381225319603
2006,Nebraska,156.4,,1.0139,,2.9939,,2.2696,,3.593,,3.5266,,0.9973,0.7229608210895986,0.7244689991487334,0.5006142663345474,0.2817013729118665
2006,Wisconsin,149.0,56.83720930232558,4.2596491228070175,65.46046511627907,2.502280701754386,73.1,3.6229310344827583,68.46744186046512,4.2859649122807015,56.93255813953488,3.341754385964912,43.62619047619047,2.422586206896552,0.7355699004718518,0.7329610194744143,0.6139578126420676,0.4360941965877348
2007,Colorado,148.0,,2.3202000000000003,,0.6262,,1.4546,,2.1243,,1.2846000000000002,,1.1593,0.48009503283178784,0.5299988277719293,0.423069691249763,0.28194532904810016
2007,Iowa,177.6,64.88333333333333,5.19551724137931,70.52439024390245,4.037966101694916,73.6595238095238,3.730172413793104,74.91034482758621,8.874507042253521,66.06,2.695578947368421,,5.4513,0.8429581086251341,0.8024893705308042,0.5041352179397584,0.2843446527992286
2007,Missouri,139.4,,5.3362,,5.7505,,2.2749,,3.2209,,3.276,,3.8803,0.7777357234313139,0.7791499566336941,0.5134049181843879,0.3446381225319603
2007,Nebraska,166.4,,4.1509,,3.0902,,2.4442000000000004,,3.2769,,1.7741,,3.1665,0.7229608210895986,0.7244689991487334,0.5006142663345474,0.2817013729118665
2007,Wisconsin,142.6,59.921875,2.4683823529411764,67.840625,3.267058823529412,70.03,2.891142857142857,69.9304347826087,8.884805194805194,62.7,2.7658227848101267,53.87619047619048,3.9653164556962026,0.7355699004718518,0.7329610194744143,0.6139578126420676,0.4360941965877348
2008,Colorado,142.4,,2.1989,,1.0708,,0.6262,,3.3903,,1.556,,0.8715,0.48009503283178784,0.5299988277719293,0.423069691249763,0.28194532904810016
2008,Iowa,170.8,58.8,5.8391752577319584,72.6,9.327575757575756,72.33333333333333,6.621030927835052,70.6,2.0275,66.5,4.880515463917526,53.333333333333336,3.2667010309278357,0.8429581086251341,0.8024893705308042,0.5041352179397584,0.2843446527992286
2008,Missouri,142.4,,5.6436,,7.385499999999999,,6.141699999999999,,2.5146,,9.0721,,2.4855,0.7777357234313139,0.7791499566336941,0.5134049181843879,0.3446381225319603
2008,Nebraska,161.0,,5.2567,,4.1987,,3.0336000000000003,,2.0676,,2.2426,,4.1185,0.7229608210895986,0.7244689991487334,0.5006142663345474,0.2817013729118665
2008,Wisconsin,138.2,53.08695652173913,2.795844155844156,65.77272727272727,8.128974358974359,70.10952380952381,4.238481012658228,67.55499999999999,1.64925,61.75555555555555,2.8829268292682926,47.68181818181818,2.1635897435897435,0.7355699004718518,0.7329610194744143,0.6139578126420676,0.4360941965877348
2009,Colorado,143.2,,2.0141,,2.8255,,2.4628,,0.816,,0.9612,,2.454,0.48009503283178784,0.5299988277719293,0.423069691249763,0.28194532904810016
2009,Iowa,184.8,60.2375,3.771413043478261,69.94,5.547578947368421,68.47999999999999,4.783263157894737,69.06666666666666,6.766907216494845,64.14285714285714,1.558709677419355,45.5,6.530526315789474,0.8429581086251341,0.8024893705308042,0.5041352179397584,0.2843446527992286
2009,Missouri,150.4,,5.675599999999999,,6.2798,,4.5298,,4.5863,,3.9641,,9.9212,0.7777357234313139,0.7791499566336941,0.5134049181843879,0.3446381225319603
2009,Nebraska,174.0,,2.2204,,5.6749,,3.1774,,3.5045,,1.6252000000000002,,3.379,0.7229608210895986,0.7244689991487334,0.5006142663345474,0.2817013729118665
2009,Wisconsin,143.0,56.625,3.1942857142857144,65.15625,4.059404761904762,64.75625,2.0217857142857145,65.93846153846154,4.745862068965517,62.25333333333333,1.678470588235294,42.7,5.168953488372093,0.7355699004718518,0.7329610194744143,0.6139578126420676,0.4360941965877348
2010,Colorado,144.6,,1.8851,,2.2781,,2.0704,,1.6118,,0.2705,,0.7879999999999999,0.48009503283178784,0.5299988277719293,0.423069691249763,0.28194532904810016
2010,Iowa,171.8,60.4125,4.309130434782609,71.67999999999999,10.845052631578946,74.9125,7.453804347826087,75.0,6.0203125,63.75,5.649130434782609,55.01666666666667,0.8847872340425532,0.8429581086251341,0.8024893705308042,0.5041352179397584,0.2843446527992286
2010,Missouri,135.4,,6.5921,,5.1773,,6.8276,,2.7932,,8.694700000000001,,0.7131000000000001,0.7777357234313139,0.7791499566336941,0.5134049181843879,0.3446381225319603
2010,Nebraska,172.2,,3.0567,,6.7405,,3.8592,,2.9025,,1.7591,,0.6993,0.7229608210895986,0.7244689991487334,0.5006142663345474,0.2817013729118665
2010,Wisconsin,160.8,58.19166666666666,3.491477272727273,66.13333333333333,7.372021276595745,72.98571428571428,8.213010752688172,72.5,3.666021505376344,58.05714285714286,5.074623655913978,50.325,2.215,0.7355699004718518,0.7329610194744143,0.6139578126420676,0.4360941965877348
2011,Colorado,127.4,,3.614700000000001,,1.1147,,3.2429,,0.7006,,1.4313,,1.5433,0.48009503283178784,0.5299988277719293,0.423069691249763,0.28194532904810016
2011,Iowa,171.2,59.51818181818182,5.049887640449438,70.72,6.633052631578948,79.22727272727273,3.280337078651685,73.34166666666667,3.09125,61.3875,1.6665217391304348,54.32222222222222,0.8084615384615383,0.8429581086251341,0.8024893705308042,0.5041352179397584,0.2843446527992286
2011,Missouri,118.0,,6.4254,,3.9885,,2.5432,,4.0427,,2.9046,,1.1374,0.7777357234313139,0.7791499566336941,0.5134049181843879,0.3446381225319603
2011,Nebraska,161.2,,5.2562,,4.0453,,3.9928,,3.8457,,0.8808,,1.6125,0.7229608210895986,0.7244689991487334,0.5006142663345474,0.2817013729118665
2011,Wisconsin,158.2,56.7,3.032795698924731,66.7,4.225760869565217,75.625,4.407826086956521,70.5,2.723586956521739,59.400000000000006,3.5482417582417582,51.84,1.4943333333333335,0.7355699004718518,0.7329610194744143,0.6139578126420676,0.4360941965877348
2012,Colorado,135.8,,1.4581,,0.5899,,2.7032,,0.4387,,1.8482,,1.0043,0.48009503283178784,0.5299988277719293,0.423069691249763,0.28194532904810016
2012,Iowa,139.4,65.66666666666667,3.324395604395604,71.85,2.894891304347826,80.12222222222222,1.0793406593406594,72.81666666666666,2.962659574468085,64.36666666666667,1.699278350515464,52.05,3.053333333333333,0.8429581086251341,0.8024893705308042,0.5041352179397584,0.2843446527992286
2012,Missouri,75.0,,2.0927,,1.882,,1.4162,,2.2148,,5.0049,,2.9341000000000004,0.7777357234313139,0.7791499566336941,0.5134049181843879,0.3446381225319603
2012,Nebraska,143.0,,2.1779,,1.6537,,1.2691,,0.9436,,0.4545,,0.9669,0.7229608210895986,0.7244689991487334,0.5006142663345474,0.2817013729118665
2012,Wisconsin,126.8,61.92857142857143,4.5761290322580646,69.8875,2.629239130434782,77.5,3.4131521739130437,69.25714285714285,2.4323655913978497,59.72222222222222,1.6216483516483515,46.74285714285714,4.002903225806452,0.7355699004718518,0.7329610194744143,0.6139578126420676,0.4360941965877348
2013,Colorado,139.25,,2.1137,,0.7211,,1.6886,,1.8578,,8.2622,,1.0613,0.48009503283178784,0.5299988277719293,0.423069691249763,0.28194532904810016
2013,Iowa,164.5,62.73333333333333,8.910721649484536,70.08333333333333,4.811489361702128,73.875,1.747291666666667,72.88,1.174736842105263,68.775,2.131145833333333,52.720000000000006,2.686315789473684,0.8429581086251341,0.8024893705308042,0.5041352179397584,0.2843446527992286
2013,Missouri,131.0,,7.0376,,4.3601,,2.7803000000000004,,3.6194,,3.0108,,3.8301,0.7777357234313139,0.7791499566336941,0.5134049181843879,0.3446381225319603
